[10-05-2017 16:34:09] Undefined variable: GET, W:\domains\mysite.local\index.php : 12
[10-05-2017 16:34:11] Undefined variable: GET, W:\domains\mysite.local\index.php : 12
[10-05-2017 16:34:12] Undefined variable: GET, W:\domains\mysite.local\index.php : 12
[10-05-2017 16:34:40] Undefined variable: GET, W:\domains\mysite.local\index.php : 12
[10-05-2017 16:46:53] Undefined variable: GET, W:\domains\mysite.local\index.php : 12
[10-05-2017 16:47:37] Undefined variable: GET, W:\domains\mysite.local\index.php : 12
[10-05-2017 16:49:47] Undefined variable: GET, W:\domains\mysite.local\index.php : 12
[10-05-2017 16:54:24] Undefined variable: GET, W:\domains\mysite.local\index.php : 12
[10-05-2017 16:54:24] require_once(/inc/index.php): failed to open stream: No such file or directory, W:\domains\mysite.local\index.php : 65
[10-05-2017 16:54:30] Undefined variable: GET, W:\domains\mysite.local\index.php : 12
[10-05-2017 16:54:30] require_once(/inc/index.php): failed to open stream: No such file or directory, W:\domains\mysite.local\index.php : 65
[10-05-2017 16:55:18] Undefined variable: GET, W:\domains\mysite.local\index.php : 12
[10-05-2017 16:55:26] Undefined variable: GET, W:\domains\mysite.local\index.php : 12
[10-05-2017 16:55:26] Undefined variable: GET, W:\domains\mysite.local\index.php : 12
[10-05-2017 16:57:02] Undefined variable: GET, W:\domains\mysite.local\index.php : 12
[10-05-2017 16:58:07] Undefined variable: GET, W:\domains\mysite.local\index.php : 12
[10-05-2017 17:13:35] Undefined variable: GET, W:\domains\mysite.local\index.php : 12
[10-05-2017 17:14:08] Undefined variable: GET, W:\domains\mysite.local\index.php : 12
[10-05-2017 17:14:13] Undefined variable: GET, W:\domains\mysite.local\index.php : 12
[11-05-2017 13:38:45] Undefined variable: GET, W:\domains\mysite.local\index.php : 12
[11-05-2017 15:15:13] Undefined variable: GET, W:\domains\mysite.local\index.php : 12
[11-05-2017 15:15:14] Undefined variable: GET, W:\domains\mysite.local\index.php : 12
[11-05-2017 15:15:16] Undefined variable: GET, W:\domains\mysite.local\index.php : 12
